Key | Superior Key | Key Cui | Superior Key Cui | Key Semantictype | Superior Key Semantictype | Key Location | Superior Key Location
initial assessment | initial assessment | [C0150637] | [C0150637]| [ health care activity ]  |  [ health care activity ]  | 389896 | 389896
ect | ect | [C2199618, C2363129] | [C2199618, C2363129]| [ laboratory procedure ]  ;  [ disease or syndrome ]  |  [ laboratory procedure ]  ;  [ disease or syndrome ]  | 5388 | 5388
html | html | [C1548454] | [C1548454]| [ intellectual product ]  |  [ intellectual product ]  | 89427 | 89427
care after | care after | [C0001758] | [C0001758]| [ health care activity ]  |  [ health care activity ]  | 109447 | 109447
cardiovascular events | cardiovascular events | [C1320716] | [C1320716]| [ finding ]  |  [ finding ]  | 19776 | 19776
ver | ver | [C0546834] | [C0546834]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 1056 | 1056
edc | edc | [C1832097] | [C1832097]| [ gene or genome ]  |  [ gene or genome ]  | 53546 | 53546
racial differences | racial differences | [C0682075] | [C0682075]| [ finding ]  |  [ finding ]  | 30211 | 30211
weight loss | weight loss | [C1262477] | [C1262477]| [ finding ]  |  [ finding ]  | 9099 | 9099
laser treatment | laser treatment | [C0850168] | [C0850168]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 431422 | 431422
very high risk | very high risk | [C4740675] | [C4740675]| [ finding ]  |  [ finding ]  | 11433 | 11433
revision | revision | [C1527075] | [C1527075]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 92763 | 92763
estimation | estimation | [C0750572] | [C0750572]| [ quantitative concept ]  |  [ quantitative concept ]  | 116342 | 116342
sequence | sequence | [C1519249, C1547787] | [C1519249, C1547787]| [ functional concept ]  ;  [ intellectual product ]  |  [ functional concept ]  ;  [ intellectual product ]  | 152396 | 152396
professional practice | professional practice | [C0033284] | [C0033284]| [ occupational activity ]  |  [ occupational activity ]  | 122468 | 122468
macrovascular disease | macrovascular disease | [C2609253] | [C2609253]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 223295 | 223295
eds | eds | [C0013720] | [C0013720]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 82187 | 82187
group practice | group practice | [C0018262] | [C0018262]| [ health care related organization ]  |  [ health care related organization ]  | 100859 | 100859
edu | edu | [C0115510] | [C0115510]| [ nucleic acid, nucleoside, or nucleotide / pharmacologic substance ]  |  [ nucleic acid, nucleoside, or nucleotide / pharmacologic substance ]  | 4765 | 4765
syringes | syringes | [C0039142, C0039147] | [C0039142, C0039147]| [ medical device ]  ;  [ anatomical abnormality ]  |  [ medical device ]  ;  [ anatomical abnormality ]  | 156446 | 156446
weaver | weaver | [C0265210, C0326812] | [C0265210, C0326812]| [ disease or syndrome ]  ;  [ bird ]  |  [ disease or syndrome ]  ;  [ bird ]  | 125070 | 125070
hypertriglyceridaemia | hypertriglyceridaemia | [C0020557] | [C0020557]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 421458 | 421458
scientific | scientific | [C0036397] | [C0036397]| [ occupation or discipline ]  |  [ occupation or discipline ]  | 89321 | 89321
social situation | social situation | [C0748872] | [C0748872]| [ social behavior ]  |  [ social behavior ]  | 141050 | 141050
urea | urea | [C0523961] | [C0523961]| [ laboratory procedure ]  |  [ laboratory procedure ]  | 18277 | 18277
21st century | 21st century | [C0681759] | [C0681759]| [ temporal concept ]  |  [ temporal concept ]  | 444574 | 444574
prescribed | prescribed | [C0278329] | [C0278329]| [ health care activity ]  |  [ health care activity ]  | 20468 | 20468
health policy | health policy | [C0018735] | [C0018735]| [ regulation or law ]  |  [ regulation or law ]  | 125400 | 125400
retina | retina | [C1278894] | [C1278894]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 165024 | 165024
walking | walking | [C2346415, C2368355] | [C2346415, C2368355]| [ finding ]  ;  [ sign or symptom ]  |  [ finding ]  ;  [ sign or symptom ]  | 181371 | 181371
heart disease | heart disease | [C0018799] | [C0018799]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 58346 | 58346
patient management | patient management | [C1610129] | [C1610129]| [ health care activity ]  |  [ health care activity ]  | 508428 | 508428
macular | macular oedema | [C0332574] | [C0271051]| [ spatial concept ]  |  [ disease or syndrome ]  | 166545 | 166545
microvascular | microvascular | [C0443258] | [C0443258]| [ functional concept ]  |  [ functional concept ]  | 7829 | 7829
heart rate | heart rate response | [C2041121, C2197023] | [C1997337, C1997754]| [ finding ]  ;  [ health care activity ]  |  [ clinical attribute ]  ;  [ clinical attribute ]  | 177769 | 177769
epidemiological | epidemiological studies | [C0014507] | [C0002783]| [ biomedical occupation or discipline ]  |  [ research activity ]  | 403086 | 403086
severe visual loss | severe visual loss | [C1301509] | [C1301509]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 431635 | 431635
study data | study data | [C0681873] | [C0681873]| [ research activity ]  |  [ research activity ]  | 509922 | 509922
cardiac disease | cardiac disease | [C0018799] | [C0018799]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 392506 | 392506
improv | improv | [C0960740] | [C0960740]| [ biomedical or dental material ]  |  [ biomedical or dental material ]  | 8380 | 8380
controversy | controversy | [C0680243] | [C0680243]| [ social behavior ]  |  [ social behavior ]  | 389239 | 389239
found in | found in | [C0332285] | [C0332285]| [ spatial concept ]  |  [ spatial concept ]  | 115913 | 115913
community health centers | community health centers | [C0009469] | [C0009469]| [ manufactured object / health care related organization ]  |  [ manufactured object / health care related organization ]  | 127064 | 127064
intensive care units | intensive care units | [C0021708] | [C0021708]| [ manufactured object / health care related organization ]  |  [ manufactured object / health care related organization ]  | 188971 | 188971
ineffective | ineffective | [C3242229] | [C3242229]| [ idea or concept ]  |  [ idea or concept ]  | 96055 | 96055
de guidelines | de guidelines | [C3897057] | [C3897057]| [ intellectual product ]  |  [ intellectual product ]  | 89551 | 89551
variable | variable | [C0439828] | [C0439828]| [ qualitative concept ]  |  [ qualitative concept ]  | 41182 | 41182
revised | revised | [C1527075] | [C1527075]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 3349 | 3349
agis | agis | [C1299007] | [C1299007]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 122120 | 122120
providers | providers | [C1138603] | [C1138603]| [ functional concept ]  |  [ functional concept ]  | 40636 | 40636
demographics | demographics | [C1546456, C1704791] | [C1546456, C1704791]| [ idea or concept ]  ;  [ intellectual product ]  |  [ idea or concept ]  ;  [ intellectual product ]  | 104082 | 104082
is about | is about | [C3874886] | [C3874886]| [ idea or concept ]  |  [ idea or concept ]  | 454988 | 454988
markedly | markedly | [C0522501] | [C0522501]| [ qualitative concept ]  |  [ qualitative concept ]  | 407606 | 407606
korotkoff sounds | korotkoff sounds | [C0277892] | [C0277892]| [ finding ]  |  [ finding ]  | 158164 | 158164
optimal | optimal | [C3260738] | [C3260738]| [ intellectual product ]  |  [ intellectual product ]  | 9581 | 9581
year | year | [C1561543, C1561544] | [C1561543, C1561544]| [ intellectual product ]  ;  [ idea or concept ]  |  [ intellectual product ]  ;  [ idea or concept ]  | 4595 | 4595
leading | leading | [C1522538] | [C1522538]| [ functional concept ]  |  [ functional concept ]  | 202906 | 202906
evidence of | evidence of | [C0332120] | [C0332120]| [ functional concept ]  |  [ functional concept ]  | 18393 | 18393
via | via | [C1550513] | [C1550513]| [ idea or concept ]  |  [ idea or concept ]  | 137492 | 137492
indapamide | indapamide | [C0021186] | [C0021186]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 384935 | 384935
emergencies | emergencies | [C0013956] | [C0013956]| [ phenomenon or process ]  |  [ phenomenon or process ]  | 186762 | 186762
visual | visual analogue scale | [C0234621] | [C0042815]| [ functional concept ]  |  [ diagnostic procedure ]  | 105099 | 105099
understanding | understanding | [C0162340] | [C0162340]| [ mental process ]  |  [ mental process ]  | 180955 | 180955
near | near | [C1706276] | [C1706276]| [ qualitative concept ]  |  [ qualitative concept ]  | 16830 | 16830
volts | volts | [C0439502] | [C0439502]| [ quantitative concept ]  |  [ quantitative concept ]  | 171931 | 171931
standard operating procedures | standard operating procedures | [C3889288] | [C3889288]| [ intellectual product ]  |  [ intellectual product ]  | 104225 | 104225
vis | vis | [C1571809] | [C1571809]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 917 | 917
agreement | agreement | [C0680240] | [C0680240]| [ social behavior ]  |  [ social behavior ]  | 47835 | 47835
biased | biased | [C0242568] | [C0242568]| [ idea or concept ]  |  [ idea or concept ]  | 77513 | 77513
methyldopa | methyldopa | [C0025741] | [C0025741]| [ amino acid, peptide, or protein / pharmacologic substance ]  |  [ amino acid, peptide, or protein / pharmacologic substance ]  | 179977 | 179977
community | community health care | [C0009462] | [C0086034]| [ group ]  |  [ health care activity ]  | 287064 | 287064
version | version | [C0333052] | [C0333052]| [ intellectual product ]  |  [ intellectual product ]  | 42485 | 42485
planning | planning | [C1301732] | [C1301732]| [ functional concept ]  |  [ functional concept ]  | 486912 | 486912
selection | selection | [C1707391] | [C1707391]| [ activity ]  |  [ activity ]  | 38337 | 38337
available drugs | available drugs | [C0418624] | [C0418624]| [ finding ]  |  [ finding ]  | 171222 | 171222
permits | permits | [C0023636] | [C0023636]| [ regulation or law ]  |  [ regulation or law ]  | 231 | 231
lower limb | lower limb | [C1269079] | [C1269079]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 491967 | 491967
science | science | [C0036397] | [C0036397]| [ occupation or discipline ]  |  [ occupation or discipline ]  | 3074 | 3074
conception | conception | [C0009637] | [C0009637]| [ organism function ]  |  [ organism function ]  | 92475 | 92475
ambulatory blood pressure | ambulatory blood pressure monitoring | [C0855316] | [C0242876]| [ finding ]  |  [ diagnostic procedure ]  | 388266 | 388266
detail | detail | [C1522508, C1561567] | [C1522508, C1561567]| [ qualitative concept ]  ;  [ functional concept ]  |  [ qualitative concept ]  ;  [ functional concept ]  | 129707 | 129707
appropriate | appropriate footwear | [C1548787] | [C1820935]| [ qualitative concept ]  |  [ finding ]  | 462445 | 462445
usefulness | usefulness | [C3827682] | [C3827682]| [ qualitative concept ]  |  [ qualitative concept ]  | 253768 | 253768
myo | myo | [C1826332] | [C1826332]| [ gene or genome ]  |  [ gene or genome ]  | 12075 | 12075
uria | uria | [C1081327] | [C1081327]| [ bird ]  |  [ bird ]  | 9069 | 9069
utility | utility | [C0582205] | [C0582205]| [ organization ]  |  [ organization ]  | 318503 | 318503
immediately | immediately | [C0205548] | [C0205548]| [ temporal concept ]  |  [ temporal concept ]  | 74555 | 74555
measurement | measurement | [C0242485] | [C0242485]| [ functional concept ]  |  [ functional concept ]  | 95129 | 95129
kdm1 | kdm1 | [C1428785] | [C1428785]| [ gene or genome ]  |  [ gene or genome ]  | 170159 | 170159
creatinine | serum creatinine measurement | [C1561535] | [C0201976]| [ finding ]  |  [ laboratory procedure ]  | 450777 | 450771
variations | variations | [C0205419] | [C0205419]| [ qualitative concept ]  |  [ qualitative concept ]  | 239455 | 239455
elevated | elevated blood pressure | [C0205250] | [C0497247]| [ qualitative concept ]  |  [ finding ]  | 392828 | 392828
behavior | behavior counseling | [C0004927] | [C4546207]| [ behavior ]  |  [ health care activity ]  | 15990 | 15990
estimating | estimating | [C0750572] | [C0750572]| [ quantitative concept ]  |  [ quantitative concept ]  | 94902 | 94902
endocrine | endocrine | [C1559198] | [C1559198]| [ finding ]  |  [ finding ]  | 2486 | 2486
toes | toes | [C4299090] | [C4299090]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 171612 | 171612
website | website | [C2349146] | [C2349146]| [ intellectual product ]  |  [ intellectual product ]  | 129622 | 129622
preferences | preferences | [C0558295] | [C0558295]| [ idea or concept ]  |  [ idea or concept ]  | 143628 | 143628
failures | failures | [C0680095] | [C0680095]| [ individual behavior ]  |  [ individual behavior ]  | 122233 | 122233
learn | learn | [C0023185] | [C0023185]| [ mental process ]  |  [ mental process ]  | 139047 | 139047
decreased | decreased gfr | [C0442797] | [C0853068]| [ finding ]  |  [ finding ]  | 26331 | 26331
cretin | cretin | [C0010308] | [C0010308]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 123724 | 123724
health concerns | health concerns | [C3869780] | [C3869780]| [ finding ]  |  [ finding ]  | 5429 | 5429
onset | onset of | [C0206132, C0332162] | [C0332162]| [ quantitative concept ]  ;  [ qualitative concept ]  |  [ qualitative concept ]  | 256270 | 256270
deterioration of visual acuity | deterioration of visual acuity | [C0857081] | [C0857081]| [ finding ]  |  [ finding ]  | 166512 | 166512
3 months | 3 months | [C1442461] | [C1442461]| [ temporal concept ]  |  [ temporal concept ]  | 18857 | 18857
mealtime | mealtime | [C0587119] | [C0587119]| [ temporal concept ]  |  [ temporal concept ]  | 359731 | 359731
decreases | decreases | [C0442797, C0547047] | [C0442797, C0547047]| [ finding ]  ;  [ quantitative concept ]  |  [ finding ]  ;  [ quantitative concept ]  | 304376 | 304376
primary outcome measure | primary outcome measure | [C3274433] | [C3274433]| [ qualitative concept ]  |  [ qualitative concept ]  | 105921 | 105921
severe | severe hypoglycemia | [C1519275, C1547227, C1547231, C1561581] | [C4728082]| [ finding ]  ;  [ intellectual product ]  ;  [ intellectual product ]  ;  [ finding ]  |  [ disease or syndrome ]  | 9998 | 9998
pathway | pathway | [C1704259, C1705987] | [C1704259, C1705987]| [ molecular function ]  ;  [ conceptual entity ]  |  [ molecular function ]  ;  [ conceptual entity ]  | 217304 | 217304
sweet | sweet | [C1154613] | [C1154613]| [ organism function ]  |  [ organism function ]  | 377701 | 377701
beading | beading | [C0991566] | [C0991566]| [ biomedical or dental material ]  |  [ biomedical or dental material ]  | 433356 | 433356
instructions | instructions | [C1442085] | [C1442085]| [ intellectual product ]  |  [ intellectual product ]  | 149205 | 149205
screening | screening for malnutrition | [C1305399, C1409616] | [C0260926]| [ functional concept ]  ;  [ finding ]  |  [ finding ]  | 492383 | 492383
pediatric population | pediatric population | [C5547365] | [C5547365]| [ population group ]  |  [ population group ]  | 51156 | 51156
up to | up to | [C0547043] | [C0547043]| [ spatial concept ]  |  [ spatial concept ]  | 144419 | 144419
stud | stud | [C1336592, C1336594] | [C1336592, C1336594]| [ amino acid, peptide, or protein / biologically active substance ]  ;  [ gene or genome ]  |  [ amino acid, peptide, or protein / biologically active substance ]  ;  [ gene or genome ]  | 3816 | 3816
turbo | turbo | [C1187412] | [C1187412]| [ eukaryote ]  |  [ eukaryote ]  | 104489 | 104489
official | official | [C2347387] | [C2347387]| [ qualitative concept ]  |  [ qualitative concept ]  | 79084 | 79084
general health | general health | [C0424575] | [C0424575]| [ finding ]  |  [ finding ]  | 43585 | 43585
autonomy | autonomy | [C0085862] | [C0085862]| [ idea or concept ]  |  [ idea or concept ]  | 490240 | 490240
professionals trained | professionals trained | [C0683844] | [C0683844]| [ educational activity ]  |  [ educational activity ]  | 268275 | 268275
fitness | fitness | [C1456706] | [C1456706]| [ daily or recreational activity ]  |  [ daily or recreational activity ]  | 183125 | 183125
limited by | limited by | [C1549479] | [C1549479]| [ idea or concept ]  |  [ idea or concept ]  | 130298 | 130298
glipizide | glipizide | [C0017642] | [C0017642]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 62296 | 62296
discrimination | discrimination | [C0012632] | [C0012632]| [ mental process ]  |  [ mental process ]  | 186787 | 186787
at admission | at admission | [C4533677] | [C4533677]| [ finding ]  |  [ finding ]  | 36195 | 36195
eld | eld | [C2985160] | [C2985160]| [ gene or genome ]  |  [ gene or genome ]  | 31000 | 31000
nursing care | nursing care | [C0028678, C0028682] | [C0028678, C0028682]| [ therapeutic or preventive procedure ]  ;  [ health care activity ]  |  [ therapeutic or preventive procedure ]  ;  [ health care activity ]  | 482378 | 482378
health professionals | health professionals | [C1704312] | [C1704312]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 239742 | 239742
need | need for | [C0686904] | [C0686904]| [ functional concept ]  |  [ functional concept ]  | 72558 | 72558
hba1c target | hba1c target | [C1318607] | [C1318607]| [ finding ]  |  [ finding ]  | 18821 | 18821
often | often | [C0332183] | [C0332183]| [ temporal concept ]  |  [ temporal concept ]  | 109238 | 109238
l glucose | l glucose | [C0022840] | [C0022840]| [ organic chemical ]  |  [ organic chemical ]  | 5825 | 5825
users | users | [C1706077] | [C1706077]| [ population group ]  |  [ population group ]  | 39701 | 39701
volume | volume | [C1705102] | [C1705102]| [ intellectual product ]  |  [ intellectual product ]  | 42610 | 42610
tests | tests | [C0392366] | [C0392366]| [ intellectual product ]  |  [ intellectual product ]  | 6580 | 6580
canada | canada | [C0006823] | [C0006823]| [ geographic area ]  |  [ geographic area ]  | 38540 | 38540
materials | materials | [C0520510] | [C0520510]| [ substance ]  |  [ substance ]  | 93036 | 93036
guideline | guideline | [C0282423] | [C0282423]| [ intellectual product ]  |  [ intellectual product ]  | 450 | 450
ejection | heart failure with reduced ejection fraction | [C0812388] | [C3839346]| [ clinical attribute ]  |  [ disease or syndrome ]  | 213852 | 213825
http | http | [C1555015] | [C1555015]| [ intellectual product ]  |  [ intellectual product ]  | 176 | 176
with type | with type | [C0332307] | [C0332307]| [ qualitative concept ]  |  [ qualitative concept ]  | 14035 | 14035
hardly | hardly | [C3898981] | [C3898981]| [ finding ]  |  [ finding ]  | 95550 | 95550
useful | useful | [C3827682] | [C3827682]| [ qualitative concept ]  |  [ qualitative concept ]  | 148271 | 148271
concordance | concordance | [C0680240] | [C0680240]| [ social behavior ]  |  [ social behavior ]  | 152490 | 152490
p s | p s | [C0234833] | [C0234833]| [ organ or tissue function ]  |  [ organ or tissue function ]  | 33452 | 33452
technical | technical school | [C0449851] | [C5555943]| [ functional concept ]  |  [ finding ]  | 112802 | 112802
exercise testing | exercise testing | [C0015260] | [C0015260]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 145620 | 145620
pooled | pooled | [C1709595] | [C1709595]| [ body substance ]  |  [ body substance ]  | 29328 | 29328
mean score | mean score | [C3533236] | [C3533236]| [ finding ]  |  [ finding ]  | 47743 | 47743
reticulocyte | reticulocyte count | [C0035286] | [C1318442]| [ cell ]  |  [ laboratory or test result ]  | 331054 | 331054
erythromycin | erythromycin | [C0014806] | [C0014806]| [ organic chemical / antibiotic ]  |  [ organic chemical / antibiotic ]  | 472161 | 472161
periodic assessment | periodic assessment | [C5229068] | [C5229068]| [ health care activity ]  |  [ health care activity ]  | 141979 | 141979
responsible | responsible | [C1273518] | [C1273518]| [ finding ]  |  [ finding ]  | 78946 | 78946
end | end | [C1366583] | [C1366583]| [ gene or genome ]  |  [ gene or genome ]  | 927 | 927
lines | lines | [C1517938, C1548328, C1553412] | [C1517938, C1548328, C1553412]| [ nucleic acid, nucleoside, or nucleotide / biologically active substance ]  ;  [ idea or concept ]  ;  [ qualitative concept ]  |  [ nucleic acid, nucleoside, or nucleotide / biologically active substance ]  ;  [ idea or concept ]  ;  [ qualitative concept ]  | 455 | 455
health care | health care team | [C0086388] | [C0086390]| [ health care activity ]  |  [ health care activity ]  | 502812 | 502812
eng | eng | [C1366583] | [C1366583]| [ gene or genome ]  |  [ gene or genome ]  | 22685 | 22685
females | females | [C0086287] | [C0086287]| [ organism attribute ]  |  [ organism attribute ]  | 366862 | 366862
rich | rich | [C1275421] | [C1275421]| [ neoplastic process ]  |  [ neoplastic process ]  | 86898 | 86898
other therapies | other therapies | [C0418967] | [C0418967]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 153206 | 153206
ace inhibitors | ace inhibitors | [C0003015] | [C0003015]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 105816 | 105816
linda | linda | [C3570325] | [C3570325]| [ eukaryote ]  |  [ eukaryote ]  | 174040 | 174040
significance | significance | [C0750502] | [C0750502]| [ idea or concept ]  |  [ idea or concept ]  | 106994 | 106994
early diagnosis | early diagnosis | [C0596473] | [C0596473]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 446963 | 446963
special | special needs | [C0205555] | [C0871403]| [ qualitative concept ]  |  [ functional concept ]  | 490843 | 490843
glinides | glinides | [C3537178] | [C3537178]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 18290 | 18290
euroqol | euroqol | [C0451150] | [C0451150]| [ intellectual product ]  |  [ intellectual product ]  | 104824 | 104824
progressive | progressive | [C0205329] | [C0205329]| [ functional concept ]  |  [ functional concept ]  | 308010 | 308010
platelet | platelet | [C0005821] | [C0005821]| [ cell ]  |  [ cell ]  | 161108 | 161108
achieved | achieved | [C5453128] | [C5453128]| [ finding ]  |  [ finding ]  | 8237 | 8237
low level | low level | [C4321351] | [C4321351]| [ finding ]  |  [ finding ]  | 106405 | 106405
contributory | contributory | [C1880177] | [C1880177]| [ activity ]  |  [ activity ]  | 471844 | 471844
urinary tract infection | urinary tract infection | [C0042029] | [C0042029]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 168152 | 168152
referred | referred to | [C1691010] | [C1555599, C1691010]| [ functional concept ]  |  [ professional or occupational group ]  ;  [ functional concept ]  | 111508 | 111508
reproduction | reproduction | [C0035150] | [C0035150]| [ organism function ]  |  [ organism function ]  | 290 | 290
health economics | health economics | [C0013560] | [C0013560]| [ occupation or discipline ]  |  [ occupation or discipline ]  | 55147 | 55147
copyright | copyright | [C1552856] | [C1552856]| [ intellectual product ]  |  [ intellectual product ]  | 365 | 365
education | education programs | [C1547143] | [C0729314]| [ biomedical occupation or discipline ]  |  [ educational activity ]  | 285555 | 285555
indication of | indication of | [C0392360] | [C0392360]| [ idea or concept ]  |  [ idea or concept ]  | 152973 | 152973
long-acting insulin | long-acting insulin | [C0304870] | [C0304870]| [ amino acid, peptide, or protein / pharmacologic substance / hormone ]  |  [ amino acid, peptide, or protein / pharmacologic substance / hormone ]  | 386559 | 386559
release | release | [C1283071] | [C1283071]| [ functional concept ]  |  [ functional concept ]  | 49051 | 49051
tobacco consumption | tobacco consumption | [C0543414] | [C0543414]| [ individual behavior ]  |  [ individual behavior ]  | 162039 | 162039
non-smoker | non-smoker | [C0425293] | [C0425293]| [ finding ]  |  [ finding ]  | 414542 | 414542
obesity management | obesity management | [C4505068] | [C4505068]| [ health care activity ]  |  [ health care activity ]  | 3699 | 3699
control group | control group | [C0009932] | [C0009932]| [ group ]  |  [ group ]  | 94800 | 94800
newly | newly diagnosed | [C0750546] | [C1518321]| [ idea or concept ]  |  [ qualitative concept ]  | 17806 | 17806
rehabilitation | rehabilitation | [C1306847] | [C1306847]| [ biomedical occupation or discipline ]  |  [ biomedical occupation or discipline ]  | 234179 | 234179
haemoglobin a1c target | haemoglobin a1c target | [C1318607] | [C1318607]| [ finding ]  |  [ finding ]  | 386865 | 386865
serum creatinine measurement | serum creatinine measurement | [C0201976] | [C0201976]| [ laboratory procedure ]  |  [ laboratory procedure ]  | 450771 | 450771
nan | nan | [C1140111, C1419854] | [C1140111, C1419854]| [ intellectual product ]  ;  [ gene or genome ]  |  [ intellectual product ]  ;  [ gene or genome ]  | 654 | 654
nam | nam | [C1850625] | [C1850625]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 1791 | 1791
judge | judge | [C0221191] | [C0221191]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 39978 | 39978
fibrates | fibrates | [C1449704] | [C1449704]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 164471 | 164471
similar | similar | [C2348205] | [C2348205]| [ qualitative concept ]  |  [ qualitative concept ]  | 18569 | 18569
advanced age | advanced age | [C0001792] | [C0001792]| [ population group ]  |  [ population group ]  | 487098 | 487098
practitioner | practitioner | [C1709627] | [C1709627]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 44267 | 44267
specify | specify | [C1521902] | [C1521902]| [ qualitative concept ]  |  [ qualitative concept ]  | 511726 | 511726
zyme | zyme | [C1416677] | [C1416677]| [ gene or genome ]  |  [ gene or genome ]  | 26410 | 26410
relevance | relevance | [C2347946] | [C2347946]| [ qualitative concept ]  |  [ qualitative concept ]  | 287939 | 287939
opiate | opiate | [C0221793, C0242401, C0376196] | [C0221793, C0242401, C0376196]| [ organic chemical / pharmacologic substance / hazardous or poisonous substance ]  ;  [ laboratory procedure ]  ;  [ organic chemical / pharmacologic substance / hazardous or poisonous substance ]  |  [ organic chemical / pharmacologic substance / hazardous or poisonous substance ]  ;  [ laboratory procedure ]  ;  [ organic chemical / pharmacologic substance / hazardous or poisonous substance ]  | 178612 | 178612
other drugs | other drugs | [C2729346] | [C2729346]| [ pharmacologic substance ]  |  [ pharmacologic substance ]  | 17920 | 17920
alerts | alerts | [C0718338] | [C0718338]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 90696 | 90696
malnutrition | malnutrition | [C0162429] | [C0162429]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 483365 | 483365
seventh | seventh | [C0205441] | [C0205441]| [ quantitative concept ]  |  [ quantitative concept ]  | 206645 | 206645
5 years | 5 years | [C5452979] | [C5452979]| [ temporal concept ]  |  [ temporal concept ]  | 102381 | 102381
community health workers | community health workers | [C0009467] | [C0009467]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 260761 | 260761
driven | driven | [C4683688] | [C4683688]| [ activity ]  |  [ activity ]  | 135651 | 135651
jama | jama | [C1422839] | [C1422839]| [ gene or genome ]  |  [ gene or genome ]  | 33948 | 33948
maturity-onset diabetes of the young | maturity-onset diabetes of the young | [C0342276] | [C0342276]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 184747 | 184747
authors | authors | [C3812881] | [C3812881]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 41492 | 41492
es1 | es1 | [C1412958] | [C1412958]| [ gene or genome ]  |  [ gene or genome ]  | 165205 | 165205
inequalities | inequalities | [C0242503] | [C0242503]| [ qualitative concept ]  |  [ qualitative concept ]  | 490411 | 490411
indicated | indicated | [C1444656] | [C1444656]| [ finding ]  |  [ finding ]  | 8564 | 8564
es3 | es3 | [C3470761] | [C3470761]| [ gene or genome ]  |  [ gene or genome ]  | 165706 | 165706
apha | apha | [C2621742] | [C2621742]| [ eukaryote ]  |  [ eukaryote ]  | 32075 | 32075
against | against | [C0521124] | [C0521124]| [ qualitative concept ]  |  [ qualitative concept ]  | 152381 | 152381
es7 | es7 | [C1419751] | [C1419751]| [ gene or genome ]  |  [ gene or genome ]  | 166996 | 166996
cell | cell | [C1136359, C1269647, C1413336, C1413337] | [C1136359, C1269647, C1413336, C1413337]| [ manufactured object ]  ;  [ cell ]  ;  [ gene or genome ]  ;  [ gene or genome ]  |  [ manufactured object ]  ;  [ cell ]  ;  [ gene or genome ]  ;  [ gene or genome ]  | 56353 | 56353
valid | valid | [C2349099] | [C2349099]| [ qualitative concept ]  |  [ qualitative concept ]  | 56837 | 56837
inertia | inertia | [C4022575] | [C4022575]| [ finding ]  |  [ finding ]  | 121634 | 121634
pastors | pastors | [C0684012] | [C0684012]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 305320 | 305320
vacuum | vacuum | [C0042221] | [C0042221]| [ natural phenomenon or process ]  |  [ natural phenomenon or process ]  | 471744 | 471744
rights | rights | [C0035621] | [C0035621]| [ qualitative concept ]  |  [ qualitative concept ]  | 93637 | 93637
cardiovascular disease | cardiovascular disease | [C0007222] | [C0007222]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 10379 | 10379
prospective cohort study | prospective cohort study | [C1709709] | [C1709709]| [ research activity ]  |  [ research activity ]  | 289680 | 289680
ers | ers | [C1704489] | [C1704489]| [ pathologic function ]  |  [ pathologic function ]  | 1057 | 1057
american diabetes association | american diabetes association | [C1705019] | [C1705019]| [ professional society ]  |  [ professional society ]  | 7119 | 7119
