Key | Superior Key | Key Cui | Superior Key Cui | Key Semantictype | Superior Key Semantictype | Key Location | Superior Key Location
inappropriate | inappropriate | [C1548788] | [C1548788]| [ qualitative concept ]  |  [ qualitative concept ]  | 176425 | 176425
prescribing | prescribing | [C0278329] | [C0278329]| [ health care activity ]  |  [ health care activity ]  | 257158 | 257158
day | day 2 | [C1561538, C1561539] | [C3842676]| [ intellectual product ]  ;  [ idea or concept ]  |  [ finding ]  | 143642 | 143642
keystone | keystone | [C1952609] | [C1952609]| [ hazardous or poisonous substance ]  |  [ hazardous or poisonous substance ]  | 103121 | 103121
combination | combination therapy | [C1947911] | [C0556895]| [ physical object ]  |  [ therapeutic or preventive procedure ]  | 26482 | 26482
obtain | obtain | [C1301820] | [C1301820]| [ functional concept ]  |  [ functional concept ]  | 58724 | 58724
intra | intra | [C0347985] | [C0347985]| [ temporal concept ]  |  [ temporal concept ]  | 71565 | 71565
created | created | [C1706214] | [C1706214]| [ activity ]  |  [ activity ]  | 24432 | 24432
format | format | [C1301627] | [C1301627]| [ intellectual product ]  |  [ intellectual product ]  | 15837 | 15837
hepatitis b surface antibody negative | hepatitis b surface antibody negative | [C0744842] | [C0744842]| [ laboratory or test result ]  |  [ laboratory or test result ]  | 20910 | 20910
done | be done to | [C1272695] | [C1272682]| [ qualitative concept ]  |  [ qualitative concept ]  | 137013 | 137010
prior malignancy | prior malignancy | [C1512706] | [C1512706]| [ finding ]  |  [ finding ]  | 116158 | 116158
perceived | perceived | [C0030971] | [C0030971]| [ mental process ]  |  [ mental process ]  | 199951 | 199951
grade approach | grade approach | [C4704712] | [C4704712]| [ intellectual product ]  |  [ intellectual product ]  | 465573 | 465573
gibbon | gibbon | [C0020410] | [C0020410]| [ mammal ]  |  [ mammal ]  | 256000 | 256000
pyrimidine | pyrimidine | [C0034284, C0034289] | [C0034284, C0034289]| [ organic chemical ]  ;  [ nucleic acid, nucleoside, or nucleotide / biologically active substance ]  |  [ organic chemical ]  ;  [ nucleic acid, nucleoside, or nucleotide / biologically active substance ]  | 154302 | 154302
concentrating | concentrating | [C2003864] | [C2003864]| [ activity ]  |  [ activity ]  | 176991 | 176991
antagonists | antagonists | [C0243076] | [C0243076]| [ chemical viewed functionally ]  |  [ chemical viewed functionally ]  | 108695 | 108695
tens | tens | [C0014518, C0040654] | [C0014518, C0040654]| [ disease or syndrome ]  ;  [ therapeutic or preventive procedure ]  |  [ disease or syndrome ]  ;  [ therapeutic or preventive procedure ]  | 15966 | 15966
ease | ease | [C1331418] | [C1331418]| [ mental process ]  |  [ mental process ]  | 5035 | 5035
critical | critical | [C1511545, C1547298, C1547308, C1551396, C1552746, C1579038] | [C1511545, C1547298, C1547308, C1551396, C1552746, C1579038]| [ qualitative concept ]  ;  [ intellectual product ]  ;  [ intellectual product ]  ;  [ finding ]  ;  [ idea or concept ]  ;  [ idea or concept ]  |  [ qualitative concept ]  ;  [ intellectual product ]  ;  [ intellectual product ]  ;  [ finding ]  ;  [ idea or concept ]  ;  [ idea or concept ]  | 11883 | 11883
inactivated | inactivated vaccines | [C5206843] | [C0042212]| [ governmental or regulatory activity ]  |  [ pharmacologic substance / immunologic factor ]  | 70254 | 70254
part | part of | [C1552020, C1709471] | [C1292711]| [ idea or concept ]  ;  [ quantitative concept ]  |  [ spatial concept ]  | 11073 | 11073
boards | boards | [C0972401] | [C0972401]| [ medical device ]  |  [ medical device ]  | 170111 | 170111
sputum | sputum | [C1546789, C1576419] | [C1546789, C1576419]| [ intellectual product ]  ;  [ body substance ]  |  [ intellectual product ]  ;  [ body substance ]  | 58750 | 58750
kidneys | kidneys | [C0227665] | [C0227665]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 155324 | 155324
principal | principal investigator | [C0401925] | [C1521895]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 13206 | 13206
nurse specialist | nurse specialist | [C4277711] | [C4277711]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 189865 | 189865
east | east | [C1707877] | [C1707877]| [ spatial concept ]  |  [ spatial concept ]  | 18118 | 18118
tena | tena | [C0049408] | [C0049408]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 110257 | 110257
intravenous | intravenous drug abuse | [C1522726] | [C0086181]| [ functional concept ]  |  [ mental or behavioral dysfunction ]  | 71565 | 71565
sixteen | sixteen | [C3715157] | [C3715157]| [ quantitative concept ]  |  [ quantitative concept ]  | 427375 | 427375
relief | relief | [C0723011] | [C0723011]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 139585 | 139585
introduction | introduction | [C1293116] | [C1293116]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 6259 | 6259
public health | public health | [C0699943] | [C0699943]| [ health care activity ]  |  [ health care activity ]  | 162566 | 162566
park | park | [C0562547] | [C0562547]| [ geographic area ]  |  [ geographic area ]  | 485 | 485
too little | too little | [C3843661] | [C3843661]| [ finding ]  |  [ finding ]  | 83379 | 83379
herbal | herbal medicine | [C3146288] | [C1533719]| [ qualitative concept ]  |  [ biomedical occupation or discipline ]  | 225752 | 225752
therapy | therapy | [C1363945] | [C1363945]| [ finding ]  |  [ finding ]  | 14965 | 14965
musculoskeletal problems | musculoskeletal problems | [C0026859] | [C0026859]| [ finding ]  |  [ finding ]  | 188508 | 188508
lectures | lectures | [C0376683] | [C0376683]| [ intellectual product ]  |  [ intellectual product ]  | 169214 | 169214
crescendo | crescendo | [C3273442] | [C3273442]| [ pharmacologic substance / hormone ]  |  [ pharmacologic substance / hormone ]  | 8467 | 8467
lecturer | lecturer | [C0920339] | [C0920339]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 175317 | 175317
concentration | concentration | [C1446561] | [C1446561]| [ quantitative concept ]  |  [ quantitative concept ]  | 201656 | 201656
attenuated vaccines | attenuated vaccines | [C0042211] | [C0042211]| [ pharmacologic substance / immunologic factor ]  |  [ pharmacologic substance / immunologic factor ]  | 72617 | 72617
psychological well-being | psychological well-being | [C0424578] | [C0424578]| [ finding ]  |  [ finding ]  | 251985 | 251985
ultrasound | ultrasound examination | [C1315081, C1456803] | [C0948501]| [ diagnostic procedure ]  ;  [ natural phenomenon or process ]  |  [ diagnostic procedure ]  | 180447 | 180447
subcutaneous injections | subcutaneous injections | [C0021499] | [C0021499]| [ functional concept ]  |  [ functional concept ]  | 105149 | 105149
chronic conditions | chronic conditions | [C5545294] | [C5545294]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 70791 | 70791
cardiol | cardiol | [C0007189] | [C0007189]| [ biomedical occupation or discipline ]  |  [ biomedical occupation or discipline ]  | 126862 | 126862
third | third | [C1705160] | [C1705160]| [ qualitative concept ]  |  [ qualitative concept ]  | 23331 | 23331
urgent care | urgent care | [C2362545] | [C2362545]| [ manufactured object / health care related organization ]  |  [ manufactured object / health care related organization ]  | 248685 | 248685
further | further | [C1517331] | [C1517331]| [ spatial concept ]  |  [ spatial concept ]  | 58913 | 58913
progressing to | progressing to | [C0205329] | [C0205329]| [ functional concept ]  |  [ functional concept ]  | 208739 | 208739
methodology | methodology | [C0969625] | [C0969625]| [ intellectual product ]  |  [ intellectual product ]  | 4523 | 4523
demands | demands | [C0699784] | [C0699784]| [ idea or concept ]  |  [ idea or concept ]  | 177743 | 177743
in touch | in touch | [C0726642] | [C0726642]| [ medical device ]  |  [ medical device ]  | 230484 | 230484
receptor protein | receptor protein | [C0597357] | [C0597357]| [ amino acid, peptide, or protein / receptor ]  |  [ amino acid, peptide, or protein / receptor ]  | 153628 | 153628
orthopaedics | orthopaedics | [C0029355] | [C0029355]| [ biomedical occupation or discipline ]  |  [ biomedical occupation or discipline ]  | 163299 | 163299
lun | lun | [C1427675] | [C1427675]| [ gene or genome ]  |  [ gene or genome ]  | 1041 | 1041
reductions | reductions | [C0301630] | [C0301630]| [ natural phenomenon or process ]  |  [ natural phenomenon or process ]  | 177381 | 177381
luo | luo | [C0574279] | [C0574279]| [ language ]  |  [ language ]  | 121533 | 121533
evolved | evolved | [C0332253] | [C0332253]| [ functional concept ]  |  [ functional concept ]  | 132788 | 132788
del | del | [C1511760] | [C1511760]| [ cell or molecular dysfunction ]  |  [ cell or molecular dysfunction ]  | 186 | 186
areas | areas | [C0205146] | [C0205146]| [ spatial concept ]  |  [ spatial concept ]  | 57548 | 57548
den | den | [C0178587] | [C0178587]| [ quantitative concept ]  |  [ quantitative concept ]  | 1693 | 1693
conducting | conducting | [C0004927] | [C0004927]| [ behavior ]  |  [ behavior ]  | 452194 | 452194
der | der | [C1441547] | [C1441547]| [ qualitative concept ]  |  [ qualitative concept ]  | 241 | 241
mcneil | mcneil | [C0331860] | [C0331860]| [ health care related organization ]  |  [ health care related organization ]  | 10331 | 10331
articular | articular disease | [C0521339] | [C0022408]| [ functional concept ]  |  [ disease or syndrome ]  | 205253 | 205253
city hospital | city hospital | [C0020029] | [C0020029]| [ health care related organization ]  |  [ health care related organization ]  | 175150 | 175150
reimbursement | reimbursement rates | [C4763453] | [C0554896]| [ activity ]  |  [ health care activity ]  | 144633 | 144633
angiotensin-converting enzyme | angiotensin-converting enzyme inhibitors | [C1452534] | [C0003015]| [ amino acid, peptide, or protein / biologically active substance ]  |  [ pharmacologic substance ]  | 151935 | 151935
sexual activity | sexual activity | [C0036864] | [C0036864]| [ behavior ]  |  [ behavior ]  | 243758 | 243758
capra | capra | [C1265549] | [C1265549]| [ mammal ]  |  [ mammal ]  | 109348 | 109348
past | past history of | [C1444637] | [C0455458]| [ temporal concept ]  |  [ finding ]  | 65104 | 65104
nineteen | nineteen | [C0450337] | [C0450337]| [ quantitative concept ]  |  [ quantitative concept ]  | 407422 | 407422
impact | impact on quality of life | [C0726639] | [C3476057]| [ food ]  |  [ qualitative concept ]  | 223138 | 223138
profile | profile | [C2003903] | [C2003903]| [ functional concept ]  |  [ functional concept ]  | 35126 | 35126
mild | mild disease | [C1513302, C1547225, C1563320] | [C4740690]| [ finding ]  ;  [ intellectual product ]  ;  [ qualitative concept ]  |  [ finding ]  | 146002 | 146002
stiffness | stiffness | [C0427008] | [C0427008]| [ sign or symptom ]  |  [ sign or symptom ]  | 95233 | 95233
easy | easy | [C0332219] | [C0332219]| [ finding ]  |  [ finding ]  | 130821 | 130821
senior | senior | [C1705825] | [C1705825]| [ idea or concept ]  |  [ idea or concept ]  | 175310 | 175310
inflammatory joint disease | inflammatory joint disease | [C0683381] | [C0683381]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 172185 | 172185
drug costs | drug costs | [C0085123] | [C0085123]| [ quantitative concept ]  |  [ quantitative concept ]  | 143816 | 143816
very difficult | very difficult | [C3843353] | [C3843353]| [ finding ]  |  [ finding ]  | 188145 | 188145
dose | dose escalation | [C0869039] | [C3816728]| [ quantitative concept ]  |  [ functional concept ]  | 210891 | 210891
eats | eats | [C5238529] | [C5238529]| [ intellectual product ]  |  [ intellectual product ]  | 52783 | 52783
t cells | t cells | [C1167909] | [C1167909]| [ laboratory procedure ]  |  [ laboratory procedure ]  | 133033 | 133033
domain | domain | [C1514562, C1879946, C1880389, C1883204, C1883221] | [C1514562, C1879946, C1880389, C1883204, C1883221]| [ amino acid sequence ]  ;  [ intellectual product ]  ;  [ functional concept ]  ;  [ idea or concept ]  ;  [ conceptual entity ]  |  [ amino acid sequence ]  ;  [ intellectual product ]  ;  [ functional concept ]  ;  [ idea or concept ]  ;  [ conceptual entity ]  | 17125 | 17125
abbott | abbott | [C0331761] | [C0331761]| [ health care related organization ]  |  [ health care related organization ]  | 4011 | 4011
omitted | omitted | [C0750563] | [C0750563]| [ idea or concept ]  |  [ idea or concept ]  | 414379 | 414379
cohort studies | cohort studies | [C0009247] | [C0009247]| [ quantitative concept ]  |  [ quantitative concept ]  | 200543 | 200543
smear | smear | [C1947932] | [C1947932]| [ activity ]  |  [ activity ]  | 58855 | 58855
tender joint | tender joint count | [C0240094] | [C0451530]| [ sign or symptom ]  |  [ intellectual product ]  | 20100 | 20100
adult | adult immunization | [C1706450] | [C1456566]| [ population group ]  |  [ therapeutic or preventive procedure ]  | 123757 | 123757
moderate level | moderate level | [C4321335] | [C4321335]| [ finding ]  |  [ finding ]  | 66294 | 66294
when required | when required | [C0558288] | [C0558288]| [ temporal concept ]  |  [ temporal concept ]  | 208785 | 208785
relative | relative risk | [C1546849] | [C0242492]| [ idea or concept ]  |  [ quantitative concept ]  | 221437 | 221437
treatment | treatment option | [C1522326, C1533734, C1705169] | [C0683525]| [ functional concept ]  ;  [ therapeutic or preventive procedure ]  ;  [ conceptual entity ]  |  [ finding ]  | 4418 | 4418
average | average | [C1510992] | [C1510992]| [ quantitative concept ]  |  [ quantitative concept ]  | 423467 | 423467
compare | compare | [C1707455] | [C1707455]| [ activity ]  |  [ activity ]  | 12682 | 12682
subgroup | subgroup | [C1079230] | [C1079230]| [ virus ]  |  [ virus ]  | 107648 | 107648
synovial | synovial tissue | [C1550315] | [C1267208]| [ body part, organ, or organ component ]  |  [ tissue ]  | 99430 | 99430
care of | care of | [C1555558] | [C1555558]| [ intellectual product ]  |  [ intellectual product ]  | 928 | 928
de novo | de novo | [C1515568] | [C1515568]| [ idea or concept ]  |  [ idea or concept ]  | 154208 | 154208
bodies | bodies | [C0242821] | [C0242821]| [ human ]  |  [ human ]  | 205519 | 205519
denis | denis | [C0332319] | [C0332319]| [ qualitative concept ]  |  [ qualitative concept ]  | 117742 | 117742
biol | biol | [C0005532] | [C0005532]| [ biomedical occupation or discipline ]  |  [ biomedical occupation or discipline ]  | 5080 | 5080
short term | short term | [C0443303] | [C0443303]| [ temporal concept ]  |  [ temporal concept ]  | 165284 | 165284
bowel disease | bowel disease | [C0021831] | [C0021831]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 113508 | 113508
journal | journal | [C0162443] | [C0162443]| [ manufactured object / intellectual product ]  |  [ manufactured object / intellectual product ]  | 32466 | 32466
seventy-five | seventy-five | [C4319621] | [C4319621]| [ quantitative concept ]  |  [ quantitative concept ]  | 88838 | 88838
term | term | [C1515273, C1705313] | [C1515273, C1705313]| [ temporal concept ]  ;  [ idea or concept ]  |  [ temporal concept ]  ;  [ idea or concept ]  | 1070 | 1070
acquisition | acquisition | [C1706701] | [C1706701]| [ activity ]  |  [ activity ]  | 87969 | 87969
indi | indi | [C0063465] | [C0063465]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 1165 | 1165
remissions | remissions | [C0687702] | [C0687702]| [ neoplastic process ]  |  [ neoplastic process ]  | 438728 | 438728
insurance company | insurance company | [C1549448] | [C1549448]| [ idea or concept ]  |  [ idea or concept ]  | 18824 | 18824
mine | mine | [C0338297] | [C0338297]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 11814 | 11814
endpoints | endpoints | [C2349179] | [C2349179]| [ qualitative concept ]  |  [ qualitative concept ]  | 462354 | 462354
meta-analyses | meta-analyses | [C0920317] | [C0920317]| [ research activity ]  |  [ research activity ]  | 451864 | 451864
mini | mini | [C0445542] | [C0445542]| [ organism attribute ]  |  [ organism attribute ]  | 24104 | 24104
cdai | cdai | [C1413248] | [C1413248]| [ gene or genome ]  |  [ gene or genome ]  | 36930 | 36930
therapists | therapists | [C0871525] | [C0871525]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 135893 | 135893
staff | staff | [C0851286] | [C0851286]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 86848 | 86848
right | right | [C1552823] | [C1552823]| [ functional concept ]  |  [ functional concept ]  | 131738 | 131738
shoes | shoes | [C0036988] | [C0036988]| [ manufactured object ]  |  [ manufactured object ]  | 240803 | 240803
bing | bing | [C5551396] | [C5551396]| [ finding ]  |  [ finding ]  | 32356 | 32356
self-reported | self-reported | [C2700446] | [C2700446]| [ research activity ]  |  [ research activity ]  | 233195 | 233195
stage | stage | [C1300072, C1306673] | [C1300072, C1306673]| [ clinical attribute ]  ;  [ temporal concept ]  |  [ clinical attribute ]  ;  [ temporal concept ]  | 178572 | 178572
taught | taught | [C0348054] | [C0348054]| [ qualitative concept ]  |  [ qualitative concept ]  | 166880 | 166880
prospective study | prospective study | [C1709709] | [C1709709]| [ research activity ]  |  [ research activity ]  | 112412 | 112412
disease activity index | disease activity index | [C4065474] | [C4065474]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 36906 | 36906
maximum | maximum | [C0806909] | [C0806909]| [ quantitative concept ]  |  [ quantitative concept ]  | 145196 | 145196
under | under 2 years | [C0542339] | [C3843496]| [ spatial concept ]  |  [ finding ]  | 418656 | 418656
hepatic fibrosis | hepatic fibrosis | [C0239946] | [C0239946]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 148397 | 148397
did | did | [C1707660] | [C1707660]| [ machine activity ]  |  [ machine activity ]  | 32815 | 32815
dif | dif | [C0812246] | [C0812246]| [ gene or genome ]  |  [ gene or genome ]  | 5042 | 5042
glucose-6-phosphate dehydrogenase | glucose-6-phosphate dehydrogenase | [C1333652] | [C1333652]| [ gene or genome ]  |  [ gene or genome ]  | 151139 | 151139
2-3 times | 2-3 times | [C3840669] | [C3840669]| [ finding ]  |  [ finding ]  | 142864 | 142864
therapeutics | therapeutics | [C0723712] | [C0723712]| [ organic chemical / pharmacologic substance ]  |  [ organic chemical / pharmacologic substance ]  | 13130 | 13130
new patient | new patient | [C5206758] | [C5206758]| [ patient or disabled group ]  |  [ patient or disabled group ]  | 177773 | 177773
dig | dig | [C1321878] | [C1321878]| [ neoplastic process ]  |  [ neoplastic process ]  | 113523 | 113523
london | london | [C0023973] | [C0023973]| [ geographic area ]  |  [ geographic area ]  | 91018 | 91018
generalized atherosclerosis | generalized atherosclerosis | [C0017327] | [C0017327]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 242220 | 242220
added | added | [C1524062] | [C1524062]| [ functional concept ]  |  [ functional concept ]  | 38715 | 38715
outcome measures | outcome measures | [C0086749] | [C0086749]| [ quantitative concept ]  |  [ quantitative concept ]  | 236030 | 236030
symptom onset | symptom onset | [C4086878] | [C4086878]| [ temporal concept ]  |  [ temporal concept ]  | 177448 | 177448
displaced | displaced | [C0012727] | [C0012727]| [ spatial concept ]  |  [ spatial concept ]  | 209051 | 209051
routine assessment of patient index data 3 | routine assessment of patient index data 3 | [C4701027] | [C4701027]| [ intellectual product ]  |  [ intellectual product ]  | 36735 | 36735
down | down | [C0205104] | [C0205104]| [ spatial concept ]  |  [ spatial concept ]  | 123850 | 123850
recommendations | recommendations | [C0034866] | [C0034866]| [ idea or concept ]  |  [ idea or concept ]  | 748 | 748
oligoarthritis | oligoarthritis | [C3892044] | [C3892044]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 194957 | 194957
dis | dis | [C1444662] | [C1444662]| [ finding ]  |  [ finding ]  | 5032 | 5032
faculty | faculty | [C0015535] | [C0015535]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 10562 | 10562
later | later | [C0205087] | [C0205087]| [ temporal concept ]  |  [ temporal concept ]  | 178566 | 178566
cuff | cuff | [C1550244] | [C1550244]| [ body part, organ, or organ component ]  |  [ body part, organ, or organ component ]  | 167888 | 167888
signal | signal | [C1710082] | [C1710082]| [ phenomenon or process ]  |  [ phenomenon or process ]  | 69051 | 69051
self-care | self-care | [C0518889] | [C0518889]| [ finding ]  |  [ finding ]  | 178506 | 178506
hypotension | hypotension | [C0020649] | [C0020649]| [ finding ]  |  [ finding ]  | 150732 | 150732
nyha class iv | nyha class iv | [C1882087] | [C1882087]| [ finding ]  |  [ finding ]  | 21407 | 21407
static | static | [C0441463] | [C0441463]| [ qualitative concept ]  |  [ qualitative concept ]  | 197967 | 197967
autoimmune | autoimmune disease | [C0443146] | [C0004364]| [ pathologic function ]  |  [ disease or syndrome ]  | 115369 | 115369
soluble | soluble | [C1749467, C1948047] | [C1749467, C1948047]| [ cell component ]  ;  [ qualitative concept ]  |  [ cell component ]  ;  [ qualitative concept ]  | 153620 | 153620
agreements | agreements | [C0680240] | [C0680240]| [ social behavior ]  |  [ social behavior ]  | 81417 | 81417
inactivated vaccines | inactivated vaccines | [C0042212] | [C0042212]| [ pharmacologic substance / immunologic factor ]  |  [ pharmacologic substance / immunologic factor ]  | 70254 | 70254
brown | brown | [C0678579] | [C0678579]| [ qualitative concept ]  |  [ qualitative concept ]  | 251748 | 251748
bras | bras | [C0453881] | [C0453881]| [ manufactured object ]  |  [ manufactured object ]  | 2944 | 2944
psychologists | psychologists | [C0033908] | [C0033908]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 135947 | 135947
month | month | [C1561541, C1561542] | [C1561541, C1561542]| [ idea or concept ]  ;  [ intellectual product ]  |  [ idea or concept ]  ;  [ intellectual product ]  | 5143 | 5143
to some extent | to some extent | [C1555600] | [C1555600]| [ qualitative concept ]  |  [ qualitative concept ]  | 235579 | 235579
biologic agent | biologic agent | [C0005515] | [C0005515]| [ biologically active substance ]  |  [ biologically active substance ]  | 5080 | 5080
uln | uln | [C1519815] | [C1519815]| [ quantitative concept ]  |  [ quantitative concept ]  | 147780 | 147780
normal liver function tests | normal liver function tests | [C0438235] | [C0438235]| [ finding ]  |  [ finding ]  | 61595 | 61595
final | final | [C1546485] | [C1546485]| [ idea or concept ]  |  [ idea or concept ]  | 11720 | 11720
angiotensin | angiotensin | [C4521302] | [C4521302]| [ amino acid, peptide, or protein / biologically active substance ]  |  [ amino acid, peptide, or protein / biologically active substance ]  | 151935 | 151935
per year | per year | [C0439508] | [C0439508]| [ temporal concept ]  |  [ temporal concept ]  | 18128 | 18128
influenza | influenza | [C0021400, C0021403] | [C0021400, C0021403]| [ disease or syndrome ]  ;  [ pharmacologic substance / immunologic factor ]  |  [ disease or syndrome ]  ;  [ pharmacologic substance / immunologic factor ]  | 121586 | 121586
hampshire | hampshire | [C0454857] | [C0454857]| [ geographic area ]  |  [ geographic area ]  | 162581 | 162581
rather | rather | [C4698491] | [C4698491]| [ finding ]  |  [ finding ]  | 32894 | 32894
importance | importance | [C3898777] | [C3898777]| [ qualitative concept ]  |  [ qualitative concept ]  | 156052 | 156052
ferri | ferri | [C0336852] | [C0336852]| [ manufactured object ]  |  [ manufactured object ]  | 84501 | 84501
back | back | [C1281593] | [C1281593]| [ body location or region ]  |  [ body location or region ]  | 11614 | 11614
cohort | cohort studies | [C0599755] | [C0009247]| [ population group ]  |  [ quantitative concept ]  | 200543 | 200543
training | training | [C1554161] | [C1554161]| [ intellectual product ]  |  [ intellectual product ]  | 12198 | 12198
bach | bach | [C1825831] | [C1825831]| [ gene or genome ]  |  [ gene or genome ]  | 117773 | 117773
title | title | [C1519530, C1704446, C1705823, C1705824] | [C1519530, C1704446, C1705823, C1705824]| [ qualitative concept ]  ;  [ idea or concept ]  ;  [ intellectual product ]  ;  [ intellectual product ]  |  [ qualitative concept ]  ;  [ idea or concept ]  ;  [ intellectual product ]  ;  [ intellectual product ]  | 23267 | 23267
states | states | [C1301808] | [C1301808]| [ geographic area ]  |  [ geographic area ]  | 2052 | 2052
duration | duration of therapy | [C0720099] | [C0444921]| [ pharmacologic substance ]  |  [ temporal concept ]  | 39175 | 39175
load | load | [C1550025, C1704782, C1708715] | [C1550025, C1704782, C1708715]| [ idea or concept ]  ;  [ manufactured object ]  ;  [ activity ]  |  [ idea or concept ]  ;  [ manufactured object ]  ;  [ activity ]  | 61793 | 61793
orthopedic footwear | orthopedic footwear | [C0813040] | [C0813040]| [ medical device ]  |  [ medical device ]  | 271573 | 271573
company | company | [C0683757] | [C0683757]| [ manufactured object / organization ]  |  [ manufactured object / organization ]  | 13096 | 13096
blinded | blinded | [C0150108] | [C0150108]| [ research activity ]  |  [ research activity ]  | 95071 | 95071
human | us department of health and human services | [C0086418] | [C0041711]| [ human ]  |  [ health care related organization ]  | 123685 | 123657
continuation | continuation | [C4055184] | [C4055184]| [ research activity ]  |  [ research activity ]  | 50157 | 50157
orthotic | orthotic | [C0813253] | [C0813253]| [ biomedical occupation or discipline ]  |  [ biomedical occupation or discipline ]  | 190445 | 190445
first-line therapy | first-line therapy | [C1708063] | [C1708063]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 43941 | 43941
clinical guidelines | clinical guidelines | [C0282451] | [C0282451]| [ intellectual product ]  |  [ intellectual product ]  | 419472 | 419472
robinson | robinson | [C0406737, C0443050] | [C0406737, C0443050]| [ disease or syndrome ]  ;  [ intellectual product ]  |  [ disease or syndrome ]  ;  [ intellectual product ]  | 269439 | 269439
length | length | [C1444754] | [C1444754]| [ quantitative concept ]  |  [ quantitative concept ]  | 19548 | 19548
meta-analysis | meta-analysis | [C0920317] | [C0920317]| [ research activity ]  |  [ research activity ]  | 395848 | 395848
permission | permission | [C1524004, C1552618] | [C1524004, C1552618]| [ intellectual product ]  ;  [ idea or concept ]  |  [ intellectual product ]  ;  [ idea or concept ]  | 131759 | 131759
dls | dls | [C1882368] | [C1882368]| [ laboratory procedure ]  |  [ laboratory procedure ]  | 412285 | 412285
concerns | concerns | [C2699424] | [C2699424]| [ idea or concept ]  |  [ idea or concept ]  | 42741 | 42741
considerations | considerations | [C0518609] | [C0518609]| [ finding ]  |  [ finding ]  | 39529 | 39529
management training | management training | [C0870838] | [C0870838]| [ educational activity ]  |  [ educational activity ]  | 198778 | 198778
schedule | schedule | [C1446911] | [C1446911]| [ health care activity ]  |  [ health care activity ]  | 123342 | 123342
o a | o a | [C0029408] | [C0029408]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 6120 | 6120
uni | uni | [C3853222] | [C3853222]| [ food ]  |  [ food ]  | 2045 | 2045
o h | o h | [C0455483] | [C0455483]| [ finding ]  |  [ finding ]  | 13590 | 13590
interpret | interpret | [C1285553] | [C1285553]| [ functional concept ]  |  [ functional concept ]  | 33503 | 33503
moist heat | moist heat | [C2030271] | [C2030271]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 237534 | 237534
recommends | recommends | [C0034866] | [C0034866]| [ idea or concept ]  |  [ idea or concept ]  | 70709 | 70709
grant | grant | [C1548284] | [C1548284]| [ idea or concept ]  |  [ idea or concept ]  | 3895 | 3895
5 days | 5 days | [C1442466] | [C1442466]| [ temporal concept ]  |  [ temporal concept ]  | 152140 | 152140
podiatrist | podiatrist | [C0260145] | [C0260145]| [ professional or occupational group ]  |  [ professional or occupational group ]  | 190618 | 190618
after treatment | after treatment | [C1882428] | [C1882428]| [ temporal concept ]  |  [ temporal concept ]  | 110305 | 110305
vaccinations | vaccinations | [C0042196] | [C0042196]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 69893 | 69893
surgical interventions | surgical interventions | [C0543467] | [C0543467]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 291173 | 291173
hand exercises | hand exercises | [C0454330] | [C0454330]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 239360 | 239360
chemotherapy | chemotherapy | [C0392920] | [C0392920]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 119815 | 119815
sickle cell disease | sickle cell disease | [C0002895] | [C0002895]| [ disease or syndrome ]  |  [ disease or syndrome ]  | 71260 | 71260
therapeutic interventions | therapeutic interventions | [C0808232] | [C0808232]| [ therapeutic or preventive procedure ]  |  [ therapeutic or preventive procedure ]  | 179475 | 179475
balance | balance | [C2174421] | [C2174421]| [ diagnostic procedure ]  |  [ diagnostic procedure ]  | 29954 | 29954
dna | dna | [C1325786] | [C1325786]| [ cell component ]  |  [ cell component ]  | 21041 | 21041
lock | lock | [C1550024, C1704783] | [C1550024, C1704783]| [ idea or concept ]  ;  [ manufactured object ]  |  [ idea or concept ]  ;  [ manufactured object ]  | 100377 | 100377
